"Date","Region","Location","Lat","Long","Habitat","Temp_water_C","Wave_exposure","STATION","TRANSECT","DATATYP","SPECIES","NUMBER","Min","Max","Avg","Num_m.2"
"14-Feb-18","Isla de los Estados","Puerto Lasserre",-54.73656,-63.86156,"Kelp bed",10,"North",4,"A","QUAN","Patagonotothen squamiceps",16,8,12,10,0.32
"14-Feb-18","Isla de los Estados","Puerto Lasserre",-54.73656,-63.86156,"Kelp bed",10,"North",4,"A","QUAN","Patagonotothen tessellata",25,5,16,10.5,0.5
"14-Feb-18","Isla de los Estados","Puerto Lasserre",-54.73656,-63.86156,"Kelp bed",10,"North",4,"A","QUAN","Patagonotothen cornucola",23,5,12,8.5,0.46
"14-Feb-18","Isla de los Estados","Puerto Lasserre",-54.73656,-63.86156,"Kelp bed",10,"North",4,"A","QUAN","Patagonotothen sima",4,5,10,7.5,0.08
"14-Feb-18","Isla de los Estados","Puerto Lasserre",-54.73656,-63.86156,"Kelp bed",10,"North",4,"B","QUAN","Patagonotothen squamiceps",19,8,10,9,0.38
"14-Feb-18","Isla de los Estados","Puerto Lasserre",-54.73656,-63.86156,"Kelp bed",10,"North",4,"B","QUAN","Patagonotothen tessellata",30,5,15,10,0.6
"14-Feb-18","Isla de los Estados","Puerto Lasserre",-54.73656,-63.86156,"Kelp bed",10,"North",4,"B","QUAN","Patagonotothen sima",4,4,6,5,0.08
"14-Feb-18","Isla de los Estados","Puerto Lasserre",-54.73656,-63.86156,"Kelp bed",10,"North",4,"B","QUAN","Patagonotothen cornucola",3,10,12,11,0.06
"14-Feb-18","Isla de los Estados","Puerto Lasserre",-54.73656,-63.86156,"Kelp bed",10,"North",4,"B","QUAN","Patagonotothen longipes",1,16,NA,16,0.02
"14-Feb-18","Isla de los Estados","Puerto Lasserre",-54.73656,-63.86156,"Kelp bed",10,"North",4,"Media team","QUAL","Salilota australis",NA,NA,NA,NA,NA
